Period_Label,Period_Start,Period_End,LOOKAHEAD,TP,SL,THRESH,Score,Validation_Precision,Precision_Std,Base_Rate,Excess_Precision,Precision_Lift,Breakeven_Precision,Edge_vs_Breakeven,Trades,Valid_Folds,Avg_Return,Avg_Holding_Days,Expectancy_Per_Day,Timeout_Rate,Research_Status,Pass_Tradeable_Rule,Ticker,Profile,Feature_Set,Experiment_Mode,Rows,Reject_Note,Setup_Source,Evaluated_Setups,Score_Delta_vs_Baseline,Validation_Precision_Delta_vs_Baseline,Excess_Precision_Delta_vs_Baseline,Edge_vs_Breakeven_Delta_vs_Baseline,Avg_Return_Delta_vs_Baseline,Expectancy_Per_Day_Delta_vs_Baseline,Avg_Holding_Days_Delta_vs_Baseline,Timeout_Rate_Delta_vs_Baseline,Trades_Delta_vs_Baseline,Score_Delta_vs_Period_Baseline,Edge_vs_Breakeven_Delta_vs_Period_Baseline,Avg_Return_Delta_vs_Period_Baseline,Expectancy_Per_Day_Delta_vs_Period_Baseline,Timeout_Rate_Delta_vs_Period_Baseline,Trades_Delta_vs_Period_Baseline
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,-0.0187638942382689,0.3160621761658031,0.144318764976584,0.3,0.0160621761658031,1.0535405837075418,0.411764705882353,-0.0957025297165498,193,3,0.0039430232166213,11.974093264248705,0.0003292961837924,0.2746113989637305,RESEARCH_EDGE,False,CTD,SWING,baseline,fixed_setup,481,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P2_2019_2021,2019-01-01,2021-12-31,20,0.08,-0.07,0.7,0.0783388853668788,0.4682539682539682,0.2532254130141497,0.3722222222222222,0.096031746031746,1.2579957322279858,0.4666666666666666,0.0015873015873016,126,3,0.0179472957139113,10.468253968253968,0.0017144497799369,0.2222222222222222,RESEARCH_EDGE,False,CTD,SWING,baseline,reoptimized,481,,profile_grid_search,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.3133258624136686,0.5277777777777778,0.1460135163065028,0.3,0.2277777777777778,1.7592592533950615,0.411764705882353,0.1160130718954248,108,3,0.0463750268876884,11.148148148148149,0.0041598861324095,0.2314814814814814,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.3320897566519375,0.2117156016119746,0.0424320036710671,0.0038305899486171,-0.04312991748224909,-85
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.7,0.3897149292992526,0.5869565217391305,0.2085106382978723,0.3,0.2869565217391305,1.956521732608696,0.411764705882353,0.1751918158567775,92,2,0.0583842067830894,11.01086956521739,0.00530241562049,0.217391304347826,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,reoptimized,481,,profile_grid_search,60.0,,,,,,,,,,0.31137604393237384,0.1736045142694759,0.0404369110691781,0.0035879658405531,-0.004830917874396212,-34
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.324417330123448,0.5309734513274337,0.1375585692106059,0.3,0.2309734513274337,1.769911498525074,0.411764705882353,0.1192087454450807,113,3,0.0464404218729546,10.84070796460177,0.0042838919764569,0.2212389380530973,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.3431812243617169,0.2149112751616305,0.0424973986563333,0.0039545957926645,-0.05337246091063319,-80
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.7,0.3906762388350966,0.5957446808510638,0.2570391238930558,0.3,0.2957446808510638,1.985815596217494,0.411764705882353,0.1839799749687108,94,3,0.0598212738800211,10.872340425531917,0.0055021523915898,0.2127659574468085,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,reoptimized,481,,profile_grid_search,60.0,,,,,,,,,,0.3123373534682178,0.1823926733814092,0.0418739781661098,0.0037877026116529,-0.009456264775413697,-32
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.3646363281294783,0.5603448275862069,0.1444650325836652,0.3,0.2603448275862068,1.867816085727969,0.411764705882353,0.1485801217038538,116,3,0.0522921055655992,11.155172413793103,0.0046877003439457,0.2068965517241379,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.38340022236774723,0.2442826514204036,0.0483490823489779,0.0043584041601533,-0.06771484723959259,-77
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.7,0.4555776698087884,0.6309523809523809,0.2023809523809524,0.3,0.3309523809523809,2.103174596164021,0.411764705882353,0.2191876750700279,84,2,0.0678330993916437,11.273809523809524,0.0060168747079119,0.2261904761904762,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,reoptimized,481,,profile_grid_search,60.0,,,,,,,,,,0.3772387844419096,0.2176003734827263,0.0498858036777324,0.004302424927975,0.003968253968253982,-42
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.3359307384823758,0.5490196078431373,0.1748170966499807,0.3,0.2490196078431373,1.8300653533769065,0.411764705882353,0.1372549019607843,102,2,0.04863135163196,11.049019607843135,0.0044014178048012,0.2058823529411764,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.3546946327206447,0.2329574316773341,0.0446883284153387,0.0040721216210088,-0.06872904602255409,-91
P2_2019_2021,2019-01-01,2021-12-31,30,0.1,-0.05,0.5,0.3774106157971492,0.6164383561643836,0.2425268415719542,0.3247863247863248,0.2916520313780588,1.897981248662344,0.3333333333333333,0.2831050228310502,73,3,0.0527829943955172,11.26027397260274,0.0046875408643924,0.0958904109589041,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,reoptimized,471,,profile_grid_search,60.0,,,,,,,,,,0.29907173043027035,0.28151772124374863,0.0348356986816059,0.0029730910844555,-0.1263318112633181,-53
P3_2022_2023,2022-01-01,2023-12-31,20,0.1,-0.07,0.5,0.0020089599401403,0.4758064516129032,0.1812099224066901,0.5297619047619048,-0.0539554531490015,0.8981515024727899,0.411764705882353,0.0640417457305502,124,3,0.034017857132323,10.266129032258064,0.0033136011657479,0.1854838709677419,NO_EDGE,False,CTD,SWING,baseline,fixed_setup,227,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
